# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 25 12:15:35 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by pl_rade desc
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Qatar-3 b,1,1,1,Transit,2017,Qatar,0,2.50792040,0.037830,12.285,1.096,1369.84730,4.31000,Mass,0.000000,1330.00,1681,0,G0 V,6007.00,1.27,1.15,-0.041,4.29,735.6010000,12.9290000,11.2190000,12.8203000
HATS-58 A b,1,2,1,Transit,2019,HATSouth,0,4.21808960,0.057980,12.274,1.095,327.36490,1.03000,Mass,0.168000,,1721,0,,7175.00,1.43,1.46,,4.29,403.5910000,11.5720000,10.2890000,11.7679000
OGLE-TR-113 b,1,1,1,Transit,2004,OGLE,0,1.43247520,0.022890,12.251,1.093,400.44900,1.26000,Mass,,,,0,,4790.00,0.77,0.78,,,566.4590000,15.8485000,,15.4430000
TOI-559 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,6.98390950,0.072300,12.229,1.091,1910.14873,6.01000,Mass,0.151000,,1180,0,G V,5925.00,1.23,1.03,-0.069,4.27,233.2660000,11.0910000,9.6380000,10.9777000
Kepler-44 b,1,1,1,Transit,2011,Kepler,0,3.24672930,0.044600,12.220,1.090,317.82000,1.00000,Mass,0.066000,,1544,0,G2 IV,5800.00,1.35,1.12,0.150,4.22,1188.0000000,14.8030000,12.8780000,14.6901000
Kepler-426 b,1,1,1,Transit,2014,Kepler,0,3.21751883,0.041400,12.220,1.090,108.06000,0.34000,Mass,0.180000,,1300,0,G1 V,5725.00,0.92,0.91,-0.210,4.47,843.6950000,15.0320000,13.2120000,14.8069000
CoRoT-14 b,1,1,1,Transit,2010,CoRoT,0,1.51214000,0.027000,12.220,1.090,2415.40000,7.60000,Mass,0.000000,,1952,0,F9 V,6035.00,1.21,1.13,0.050,4.35,1744.6000000,15.9320000,13.8060000,15.8116000
WASP-160 B b,1,2,1,Transit,2018,SuperWASP-South,0,3.76849520,0.045200,12.218,1.090,88.35674,0.27800,Mass,0.000000,,1119,0,K0 V,5298.00,0.87,0.87,0.270,,288.3260000,13.0400000,11.0550000,12.8842000
WASP-138 b,1,1,1,Transit,2016,SuperWASP,0,3.63443300,0.049400,12.218,1.090,387.75260,1.22000,Mass,,,1590,0,,6272.00,1.36,1.22,-0.090,4.25,414.2340000,11.7960000,10.4940000,11.6873000
TOI-1278 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,14.47567000,0.095000,12.218,1.090,5879.82553,18.50000,Mass,0.013000,,,0,M0 V,3799.00,0.57,0.54,-0.010,4.68,75.5759000,13.5020000,9.7350000,12.7543000
NGTS-8 b,1,1,1,Transit,2019,Paranal Observatory,0,2.49970000,0.035000,12.218,1.090,295.58190,0.93000,Mass,0.010000,503.00,1345,0,K0 V,5241.00,0.98,0.89,0.240,4.41,428.9760000,13.6900000,11.6420000,13.4954000
HAT-P-31 b,1,1,1,Transit,2011,HATNet,0,5.00542000,,12.218,1.090,721.47410,2.27000,Mass,0.250000,,,0,,6065.00,1.39,1.31,0.150,4.26,344.0500000,11.6670000,10.0830000,11.4501000
HAT-P-23 b,1,1,1,Transit,2010,HATNet,0,1.21288000,,12.218,1.090,425.89220,1.34000,Mass,0.110000,,,0,,5905.00,0.96,0.58,0.150,4.33,364.8130000,11.9370000,10.7910000,12.1741000
Kepler-723 b,1,1,1,Transit,2016,Kepler,0,4.08227507,,12.190,1.088,,,,,,,0,,5539.00,0.89,0.92,0.000,4.51,1071.8000000,15.4520000,13.4990000,15.2010000
WASP-5 b,1,1,1,Transit,2008,SuperWASP,0,1.62842790,0.026700,12.184,1.087,502.15000,1.58000,Mass,0.038000,,1706,0,,5700.00,1.03,0.96,0.090,4.39,309.1370000,12.1470000,10.5980000,11.9960000
TOI-558 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,14.57407100,0.129100,12.173,1.086,1147.36055,3.61000,Mass,0.298000,,1061,0,F V,6466.00,1.50,1.35,-0.004,4.22,402.6300000,11.2330000,10.2620000,11.3253000
TOI-169 b,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,2.25544770,0.035240,12.173,1.086,251.40353,0.79100,Mass,0.000000,1443.00,1715,0,G1 V,5880.00,1.29,1.15,0.240,4.28,407.8400000,12.3550000,10.8150000,12.2379000
Kepler-686 b,1,1,1,Transit,2016,Kepler,0,1.59474546,,12.150,1.084,,,,,,,0,,5649.00,0.92,0.94,-0.070,4.49,1490.9400000,16.0200000,13.9170000,15.5242000
K2-113 b,1,1,1,Transit,2017,K2,0,5.81768500,0.064200,12.140,1.083,,,,,,1098,0,,5660.00,1.24,1.04,0.270,4.27,635.7220000,13.7440000,11.9490000,13.5039000
WASP-2 b,1,2,1,Transit,2007,SuperWASP,0,2.15217500,0.031440,12.117,1.081,295.89973,0.93100,Mass,,492.00,1311,0,,5180.00,0.87,0.90,0.120,4.51,153.2420000,11.7280000,9.6320000,11.5638000
Kepler-428 b,1,1,1,Transit,2014,Kepler,0,3.52563254,0.043300,12.110,1.080,403.63000,1.27000,Mass,0.220000,,1070,0,K1 V,5150.00,0.80,0.87,0.090,4.57,686.2840000,15.3620000,13.2340000,15.2218000
CoRoT-25 b,1,1,1,Transit,2013,CoRoT,0,4.86069000,0.057800,12.110,1.080,85.81000,0.27000,Mass,0.000000,,1330,0,F9,6040.00,1.19,1.09,-0.010,4.31,1103.4800000,14.7900000,12.8460000,14.7110000
WASP-10 b,1,1,1,Transit,2008,SuperWASP,0,3.09276160,0.037810,12.106,1.080,1001.12000,3.15000,Mass,,,1370,0,,4675.00,0.70,0.75,,,140.9980000,12.4130000,9.9830000,12.1739000
HATS-76 b,1,1,1,Transit,2021,HATSouth,0,1.94164230,0.026580,12.094,1.079,835.57088,2.62900,Mass,0.062000,129.80,940,0,,4016.00,0.63,0.66,0.322,4.67,385.6890000,16.6800000,12.8120000,15.7942000
K2-115 b,1,1,1,Transit,2017,K2,0,20.27261500,0.143000,12.060,1.076,,,,,,619,0,,5657.00,0.88,0.95,-0.100,4.53,413.5910000,13.4440000,11.7240000,13.2000000
WASP-53 b,1,1,2,Transit,2017,Multiple Facilities,0,3.30984430,0.041010,12.038,1.074,677.61356,2.13200,Mass,0.030000,,1053,0,,4953.00,0.80,0.84,0.220,4.55,201.3380000,12.5910000,10.3900000,12.3473000
HAT-P-62 b,1,1,1,Transit,2021,HATNet,0,2.64532350,0.037720,12.027,1.073,241.86742,0.76100,Mass,0.101000,867.20,1512,0,,5629.00,1.17,1.02,0.414,4.31,348.8150000,12.5390000,10.7010000,12.4362000
HAT-P-68 b,1,1,1,Transit,2020,HATNet,0,2.29840551,0.029960,12.016,1.072,230.10892,0.72400,Mass,0.041000,184.80,1028,0,K,4508.00,0.67,0.68,-0.059,4.62,202.1520000,13.8020000,11.0190000,13.5442000
WASP-25 b,1,1,1,Transit,2010,SuperWASP,0,3.76483000,,11.994,1.070,139.84520,0.44000,Mass,0.000000,,,0,,5750.00,0.80,0.67,-0.050,4.50,211.4160000,11.8750000,10.1740000,11.6885000
WASP-158 b,1,1,1,Transit,2018,SuperWASP-South,0,3.65633300,0.051700,11.994,1.070,886.74570,2.79000,Mass,0.000000,,1590,0,F6 V,6350.00,1.39,1.38,0.240,4.30,524.9930000,12.0440000,10.8810000,12.0911000
WASP-150 b,1,1,1,Transit,2020,SuperWASP-North,0,5.64420700,0.069400,11.994,1.070,2688.84180,8.46000,Mass,0.377500,,1460,0,F8,6218.00,1.65,1.39,0.156,4.15,527.9950000,12.0260000,10.7470000,11.9151000
TOI-892 b,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,10.62656000,0.092000,11.994,1.070,301.93850,0.95000,Mass,0.125000,,1397,0,F,6261.00,1.39,1.28,0.240,4.26,340.5430000,11.4300000,10.1060000,11.3435000
TOI-519 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,1.26523280,0.012000,11.994,1.070,4449.62000,14.00000,Mass,,,760,0,M3.5,3350.00,0.37,0.37,,,115.5570000,17.3500000,11.9510000,15.7067000
NGTS-9 b,1,1,1,Transit,2019,Paranal Observatory,0,4.43527000,0.058000,11.994,1.070,921.70700,2.90000,Mass,0.060000,729.00,1448,0,F8 V,6330.00,1.38,1.34,0.310,4.37,609.1280000,12.8680000,11.4520000,12.6547000
Kepler-1658 b,1,1,1,Transit,2019,Kepler,0,3.84937278,0.054400,11.994,1.070,1868.84040,5.88000,Mass,0.062800,,,0,,6216.00,2.89,1.45,-0.180,3.67,788.2380000,11.6200000,10.1950000,11.4200000
HD 80606 b,1,2,1,Radial Velocity,2001,Multiple Observatories,0,111.43670000,,11.994,1.070,1392.09540,4.38000,Mass,0.930000,,,0,,5561.00,1.04,1.15,0.350,4.42,66.4711000,9.0600000,7.3160000,8.8200800
WASP-21 b,1,1,1,Transit,2010,SuperWASP,0,4.32248200,0.052000,11.990,1.070,95.34500,0.30000,Mass,0.000000,,,0,G3 V,,,,,,258.4260000,11.5900000,9.9820000,11.3987000
Kepler-548 b,1,1,1,Transit,2016,Kepler,0,4.45419434,,11.990,1.070,,,,,,,0,,5535.00,0.90,0.93,0.000,4.50,751.7760000,15.2660000,13.0710000,14.9844000
HATS-54 b,1,1,1,Transit,2019,HATSouth,0,2.54418280,0.037630,11.960,1.067,241.55080,0.76000,Mass,0.126000,,1625,0,,5702.00,1.32,1.10,0.396,4.24,748.5850000,13.9370000,12.1700000,13.7762000
HATS-44 b,1,1,1,Transit,2018,HATSouth,0,2.74390040,0.036490,11.960,1.067,177.98480,0.56000,Mass,0.279000,,1161,0,,5080.00,0.85,0.86,0.320,4.51,446.0350000,14.3970000,12.1880000,14.1595000
CoRoT-9 b,1,2,1,Transit,2009,CoRoT,0,95.27265600,0.402100,11.949,1.066,266.97720,0.84000,Mass,0.133000,,420,0,,5625.00,0.96,0.96,-0.010,4.54,412.9800000,13.6370000,11.6880000,13.5008000
Kepler-1704 b,1,1,1,Transit,2013,Kepler,0,988.88113000,2.026000,11.938,1.065,1318.98789,4.15000,Mass,0.921000,0.34,254,0,,5745.00,1.70,1.13,0.196,4.03,835.4550000,13.3920000,11.7920000,13.2514000
Qatar-6 b,1,2,1,Transit,2017,Qatar,0,3.50619500,0.042300,11.904,1.062,212.31044,0.66800,Mass,0.000000,,1006,0,K2 V,5052.00,0.72,0.82,-0.025,4.64,100.8480000,11.4960000,9.2260000,11.1249000
WASP-117 b,1,1,1,Transit,2014,SuperWASP,0,10.02165000,,11.882,1.060,95.34900,0.30000,Mass,0.300000,,,0,,6040.00,1.22,1.29,-0.110,4.28,157.9630000,10.1390000,8.7800000,10.0269000
TOI-628 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,3.40956750,0.048600,11.882,1.060,2011.86390,6.33000,Mass,0.072000,,1586,0,,6250.00,1.34,1.31,0.258,4.30,178.6800000,10.1120000,8.8110000,10.0579000
TOI-1478 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,10.18024900,0.090300,11.882,1.060,270.47333,0.85100,Mass,0.024000,,918,0,,5597.00,1.05,0.95,0.078,4.37,152.8920000,10.7230000,9.2010000,10.6624000
K2-31 b,1,2,1,Transit,2016,K2,0,1.25785000,0.022000,11.882,1.060,563.83042,1.77400,Mass,0.000000,,,0,G7 V,5280.00,0.78,0.91,0.080,4.60,110.5270000,10.8020000,8.8660000,10.5371000
HAT-P-15 b,1,1,1,Transit,2010,HATNet,0,10.86350000,,11.882,1.060,616.59020,1.94000,Mass,0.190000,,,0,,5568.00,1.07,1.00,0.220,4.38,192.5160000,12.4100000,9.6410000,11.7232000
Kepler-1647 b,1,2,1,Transit,2016,Kepler,0,1107.59230000,2.720500,11.874,1.059,483.00000,1.51968,Mass,0.058100,,,0,,6210.00,1.79,1.22,-0.140,4.02,1212.4500000,13.6680000,12.0070000,13.5790000
HATS-62 b,1,1,1,Transit,2018,HATSouth,0,3.27688370,0.041630,11.825,1.055,56.89157,0.17900,Mass,0.298000,387.40,1237,0,,5416.00,0.93,0.90,0.133,4.45,523.0670000,14.1710000,12.1090000,13.8321000
EPIC 246851721 b,1,2,1,Transit,2018,K2,0,6.18023500,0.072290,11.781,1.051,953.49000,3.00000,Mass,,642.00,1401,0,F5 V,6202.00,1.59,1.32,0.141,4.16,372.6320000,11.2370000,9.8930000,11.2549000
HN Peg b,1,1,1,Imaging,2006,Spitzer Space Telescope,0,,773.000000,11.777,1.051,6991.57000,21.99870,Mass,,,,0,G0 V,,,,,,18.1186000,5.9770700,4.5590000,5.8236300
Kepler-75 b,1,1,1,Transit,2013,Kepler,0,8.88491160,0.081800,11.770,1.050,3209.90000,10.10000,Mass,0.570000,,767,0,K0 V,5200.00,0.89,0.91,0.300,4.50,835.3560000,15.4140000,13.1180000,15.1789000
CoRoT-23 b,1,1,1,Transit,2011,CoRoT,0,3.63130000,0.048000,11.770,1.050,889.90000,2.80000,Mass,0.160000,,1660,0,G0 V,5900.00,1.61,1.14,0.050,4.30,1060.9700000,15.6750000,12.3640000,15.0681000
WASP-57 b,1,1,1,Transit,2012,SuperWASP,0,2.83891856,0.037690,11.769,1.050,204.68252,0.64400,Mass,,,1338,0,,5600.00,0.93,0.89,-0.250,4.45,398.2760000,12.9130000,11.2440000,12.7293000
HAT-P-17 b,1,1,2,Transit,2010,HATNet,0,10.33852000,,11.769,1.050,184.34140,0.58000,Mass,0.350000,,,0,,5246.00,0.87,0.99,0.000,4.53,92.3831000,10.3750000,8.5440000,10.2743000
NGTS-12 b,1,1,1,Transit,2020,Paranal Observatory,0,7.53280600,0.075700,11.747,1.048,66.10864,0.20800,Mass,0.000000,416.00,1257,0,G,5690.00,1.59,1.02,-0.030,4.04,446.4420000,12.3820000,10.5880000,12.1279000
K2-99 b,1,1,1,Transit,2016,K2,0,18.25198500,0.159700,11.730,1.046,,,,,,1113,0,,6217.00,2.63,1.63,0.210,3.81,519.2290000,11.1490000,9.7200000,10.9485000
WASP-89 b,1,1,1,Transit,2015,SuperWASP,0,3.35642270,0.042700,11.657,1.040,1875.19700,5.90000,Mass,0.193000,,1120,0,K3,5130.00,0.88,0.92,0.150,4.51,290.9460000,13.2100000,11.0040000,12.9890000
WASP-83 b,1,1,1,Transit,2015,SuperWASP,0,4.97125200,0.059000,11.657,1.040,95.34900,0.30000,Mass,0.000000,,1120,0,G8,5510.00,1.05,1.11,0.290,4.44,271.1030000,12.3120000,10.3930000,12.0084000
TOI-1842 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,9.57390000,0.100100,11.657,1.040,68.01528,0.21400,Mass,,,,0,,6230.00,2.02,1.46,0.220,4.10,223.4650000,9.8150000,8.4460000,9.6598100
Kepler-490 b,1,1,1,Transit,2016,Kepler,0,3.26869515,,11.650,1.039,,,,,,,0,,6045.00,1.12,1.08,-0.020,4.37,1523.0000000,14.8430000,13.4690000,14.8173000
K2-30 b,1,1,1,Transit,2016,K2,0,4.09850300,0.048390,11.646,1.039,184.02357,0.57900,Mass,0.000000,,1092,0,G6 V,5425.00,0.84,0.90,-0.150,4.54,333.0420000,13.5470000,11.0880000,13.2056000
HATS-14 b,1,1,1,Transit,2015,HATSouth,0,2.76676410,0.038150,11.646,1.039,340.39593,1.07100,Mass,0.142000,,1276,0,,5346.00,0.93,0.97,0.330,4.48,513.0110000,14.0520000,12.0370000,13.7712000
Kepler-289 c,1,1,3,Transit,2014,Kepler,0,125.85180000,0.510000,11.590,1.034,132.00000,0.42000,Mass,,,,1,,5990.00,1.00,1.08,0.050,4.47,704.4380000,14.1420000,12.5080000,13.9628000
HATS-74 A b,1,2,1,Transit,2021,HATSouth,0,1.73185606,0.023840,11.568,1.032,464.02947,1.46000,Mass,0.044000,106.90,895,0,,3776.90,0.58,0.60,0.514,4.70,299.3890000,17.2600000,12.3610000,15.9837000
Wendelstein-1 b,1,1,1,Transit,2020,Haleakala Observatory,0,2.66341600,0.028200,11.561,1.031,188.15536,0.59200,Mass,0.012000,,2198,0,K7 V,4251.00,0.61,0.65,,,305.3000000,15.5640000,12.1980000,15.0324000
WASP-91 b,1,1,1,Transit,2017,SuperWASP-South,0,2.79858100,0.037000,11.545,1.030,425.89220,1.34000,Mass,0.000000,,1160,0,K3,4920.00,0.86,0.84,0.190,4.30,149.9420000,11.9800000,9.7120000,11.6236000
WASP-6 b,1,1,1,Transit,2009,SuperWASP,0,3.36101000,,11.545,1.030,117.59710,0.37000,Mass,0.050000,,,0,,5450.00,0.73,0.55,-0.200,4.60,197.1190000,11.9070000,10.3250000,11.9761000
KPS-1 b,1,1,1,Transit,2018,Acton Sky Portal Observatory,0,1.70629100,0.026900,11.545,1.030,346.43470,1.09000,Mass,0.000000,729.00,1459,0,K1 V,5165.00,0.91,0.89,0.220,4.47,262.7060000,12.9700000,10.9310000,12.7933000
HD 1397 b,1,1,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),0,11.53533000,0.109700,11.500,1.026,131.89945,0.41500,Mass,0.251000,356.00,1228,0,,5521.00,2.34,1.32,0.290,3.82,79.5702000,7.7900000,5.9880000,7.5933600
HATS-71 b,1,1,1,Transit,2020,HATSouth,0,3.79552020,0.037450,11.478,1.024,117.59710,0.37000,Mass,0.000000,,587,0,M3 V,3405.00,0.48,0.49,0.170,4.77,140.2250000,16.4370000,11.7270000,15.3512000
TOI-1259 A b,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,3.47797800,0.040700,11.456,1.022,140.16233,0.44100,Mass,0.000000,,963,0,,4775.00,0.71,0.74,-0.500,4.61,118.1060000,12.0790000,9.6190000,11.8104000
WASP-99 b,1,1,1,Transit,2014,SuperWASP,0,5.75251000,,11.433,1.020,772.32690,2.43000,Mass,0.000000,,,0,,6150.00,1.64,1.21,0.210,4.30,158.6600000,9.4750000,8.0880000,9.3251000
WASP-106 b,1,1,1,Transit,2014,SuperWASP,0,9.28971000,,11.433,1.020,514.88460,1.62000,Mass,0.000000,,,0,,6055.00,1.31,0.93,-0.090,4.23,352.1810000,11.2100000,10.1610000,11.3659000
TOI-564 b,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,1.65114400,0.027340,11.433,1.020,464.98529,1.46300,Mass,0.072000,1423.00,1714,0,,5640.00,1.09,1.00,0.143,4.36,199.5810000,11.0970000,9.6040000,11.1424000
HATS-4 b,1,1,1,Transit,2014,HATSouth,0,2.51672900,0.036200,11.433,1.020,420.47100,1.32300,Mass,0.013000,,1315,0,G,5403.00,0.93,1.00,0.430,4.51,416.4590000,13.5160000,11.6120000,13.2862000
HAT-P-27 b,1,2,1,Transit,2011,HATNet,0,3.03957700,0.040000,11.430,1.020,197.05000,0.62000,Mass,0.000000,,,0,,5316.00,0.86,0.92,0.300,4.53,199.1730000,12.0520000,10.1090000,11.9562000
CoRoT-17 b,1,1,1,Transit,2011,CoRoT,0,3.76810000,0.046100,11.430,1.020,772.29000,2.43000,Mass,0.000000,,1626,0,G2 V,5740.00,1.59,1.04,0.000,4.40,1176.1200000,16.2900000,12.4720000,15.4368000
OGLE-TR-111 b,1,1,1,Transit,2004,OGLE,0,4.01444630,0.047300,11.422,1.019,,,,,,,0,,,0.83,,,,1068.3300000,16.7070000,14.1120000,16.5277000
Kepler-487 b,1,1,3,Transit,2016,Kepler,0,15.35876840,,11.420,1.019,,,,,,,0,,5444.00,0.88,0.91,0.000,4.51,872.3430000,14.8820000,13.2500000,15.0647000
TOI-2184 b,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,6.90683000,,11.400,1.017,206.58846,0.65000,Mass,0.080000,1429.00,,0,,5966.00,2.90,1.53,0.140,3.70,788.3170000,12.2540000,10.4100000,11.8482000
TOI-2202 b,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,11.91010000,0.095640,11.321,1.010,310.83618,0.97800,Mass,0.042000,,,1,K8 V,5144.00,0.79,0.82,0.040,4.55,235.9330000,13.0040000,10.8000000,12.7606000
TOI-2180 b,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,260.79000000,0.828000,11.321,1.010,875.61726,2.75500,Mass,0.368300,2.71,348,0,G5,5695.00,1.64,1.11,0.253,4.06,116.6850000,9.1620000,7.6040000,9.0113300
CoRoT-3 b,1,1,1,Transit,2008,CoRoT,0,4.25680000,,11.320,1.010,6883.91000,21.66000,Mass,0.000000,,,0,F3 V,6740.00,1.56,1.37,,4.22,768.7710000,13.4480000,11.6180000,13.2188000
Qatar-9 b,1,1,1,Transit,2019,Qatar,0,1.54073100,0.023400,11.310,1.009,378.21770,1.19000,Mass,0.000000,,1134,0,K5 V,4309.00,0.70,0.72,0.252,4.61,213.7710000,14.0230000,11.1040000,13.6871000
HAT-P-52 b,1,1,1,Transit,2015,HATNet,0,2.75359530,0.036940,11.310,1.009,259.98494,0.81800,Mass,0.047000,,1218,0,,5131.00,0.89,0.89,0.280,4.48,361.1550000,14.1070000,11.6210000,13.7870000
CoRoT-30 b,1,1,1,Transit,2020,CoRoT,0,9.06005000,0.084400,11.310,1.009,921.70700,2.90000,Mass,0.007000,,,0,G3 V,5650.00,0.91,0.98,0.020,4.40,1032.2300000,15.5710000,13.5620000,15.4130000
KOI-351 h,1,1,8,Transit,2013,Kepler,0,331.60059000,1.010000,11.300,1.008,,,,,,,0,,6080.00,1.20,1.20,-0.120,4.40,848.2540000,13.8830000,12.4820000,13.7397000
TOI-201 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,52.97818000,0.300000,11.299,1.008,133.48860,0.42000,Mass,0.280000,,759,0,F6 V,6394.00,1.32,1.32,0.240,4.32,113.8250000,9.0700000,7.8460000,8.9400400
TOI-216.01,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,34.55600000,0.206900,11.290,1.007,200.00000,0.62927,Mass,0.029000,10.10,497,1,,5026.00,0.84,0.87,0.320,4.66,177.9450000,12.3240000,10.2180000,12.1631000
CoRoT-27 b,1,1,1,Transit,2014,CoRoT,0,3.57532000,0.047600,11.287,1.007,3302.11000,10.39000,Mass,0.065000,,1500,0,G2,5900.00,1.08,1.05,-0.100,4.40,1010.2800000,15.7740000,12.9850000,15.3902000
K2-290 c,1,3,2,Transit,2019,K2,0,48.36685000,0.305000,11.276,1.006,246.00042,0.77400,Mass,0.000000,,676,0,,6302.00,1.51,1.19,-0.060,4.23,272.9090000,11.1140000,9.4200000,10.8204000
KOI-94 d,1,2,4,Transit,2013,Kepler,0,22.34298900,0.168400,11.270,1.005,106.00000,0.33400,Mass,0.022000,,806,1,,6182.00,1.52,1.28,0.023,4.18,477.0520000,12.3140000,10.9260000,12.1882000
TIC 172900988 b,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,200.45200000,0.902810,11.250,1.004,942.00000,2.96386,Mass,0.027100,,,0,F9,6050.00,1.38,1.24,0.340,4.25,250.9560000,10.1410000,8.7620000,10.0477000
WASP-34 b,1,1,1,Transit,2010,SuperWASP,0,4.31768000,,11.209,1.000,177.98480,0.56000,Mass,0.040000,,,0,,5700.00,0.91,0.96,-0.020,4.50,132.0960000,10.2850000,8.7920000,10.2046000
WASP-162 b,1,1,1,Transit,2018,SuperWASP-South,0,9.62468000,0.087100,11.209,1.000,1652.71600,5.20000,Mass,0.434000,,910,0,K0,5300.00,1.11,0.95,0.280,4.33,310.8410000,12.2130000,10.4660000,12.0652000
K2-232 b,1,1,1,Transit,2018,K2,0,11.16845400,0.103560,11.209,1.000,126.49634,0.39800,Mass,0.258000,,1030,0,,6154.00,1.16,1.19,0.100,4.38,130.7200000,9.8220000,8.4340000,9.7262600
Kepler-553 c,1,1,2,Transit,2016,Kepler,0,328.23995460,,11.200,0.999,,,,,,,0,,5266.00,0.85,0.92,0.210,4.55,728.5250000,15.0340000,13.0640000,14.9567000
WASP-80 b,1,1,1,Transit,2012,SuperWASP,0,3.06785234,0.034400,11.198,0.999,170.99254,0.53800,Mass,0.002000,,825,0,,4143.00,0.59,0.58,-0.130,4.66,49.7876000,11.8410000,8.3510000,11.2730000
WASP-157 b,1,1,1,Transit,2016,SuperWASP,0,3.95162300,0.049900,11.190,0.998,,,,,,1193,0,,5772.00,1.10,1.06,0.250,4.38,334.0370000,12.3970000,10.7640000,12.1818000
HATS-6 b,1,1,1,Transit,2015,HATSouth,0,3.32527250,0.036230,11.187,0.998,101.38777,0.31900,Mass,0.000000,,713,0,M1 V,3724.00,0.57,0.57,0.200,4.68,169.3180000,15.0440000,11.2240000,14.3601000
HAT-P-18 b,1,1,1,Transit,2010,HATNet,0,5.50802300,0.055900,11.153,0.995,62.61000,0.19700,Mass,0.084000,,852,0,K2,4803.00,0.75,0.77,0.100,4.57,161.4000000,12.5970000,10.2340000,12.3682000
XO-2 N b,1,2,3,Transit,2007,XO,0,2.61586178,0.036800,11.131,0.993,179.89178,0.56600,Mass,,,,0,,,0.99,0.97,,4.43,154.2730000,11.2460000,9.3080000,10.9718000
TOI-481 b,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,10.33111000,0.097000,11.097,0.990,486.27990,1.53000,Mass,0.153000,,1370,0,G,5735.00,1.66,1.14,0.260,4.06,179.3660000,9.9720000,8.4430000,9.8465900
KOI-3680 b,1,1,1,Transit,2018,Kepler,0,141.24167100,0.534000,11.097,0.990,613.41190,1.93000,Mass,0.496000,,347,0,,5830.00,0.96,1.01,0.160,4.47,921.9860000,14.6160000,13.1010000,14.5027000
