"","Name","Engine","Cylinders","Horsepower","Weight","WheelBase","Length","Width"
"43","Suzuki Forenza EX 4dr",2,4,119,2756,102,177,68
"13","Honda Civic HX 2dr",1.7,4,117,2500,103,175,67
"12","Honda Civic DX 2dr",1.7,4,115,2432,103,175,67
"14","Honda Civic LX 4dr",1.7,4,115,2513,103,175,68
"28","Mini Cooper",1.6,4,115,2524,97,143,67
"95","Volkswagen Golf GLS 4dr",2,4,115,2897,99,165,68
"145","Volkswagen New Beetle GLS conver",2,4,115,3082,99,161,68
"380","Volkswagen Jetta GL",2,4,115,3034,99,174,68
"9","Ford Focus LX 4dr",2,4,110,2606,103,168,67
"94","Toyota Prius 4dr (gas/electric)",1.5,4,110,2890,106,175,68
"39","Scion xA 4dr hatch",1.5,4,108,2340,93,154,67
"47","Toyota Echo 2dr manual",1.5,4,108,2035,93,163,65
"48","Toyota Echo 2dr auto",1.5,4,108,2085,93,163,65
"49","Toyota Echo 4dr",1.5,4,108,2055,93,163,65
"375","Scion xB",1.5,4,108,2425,98,155,67
"22","Kia Rio 4dr manual",1.6,4,104,2403,95,167,66
"23","Kia Rio 4dr auto",1.6,4,104,2458,95,167,66
"364","Kia Rio Cinco",1.6,4,104,2447,95,167,66
"1","Chevrolet Aveo 4dr",1.6,4,103,2370,98,167,66
"2","Chevrolet Aveo LS 4dr hatch",1.6,4,103,2348,98,153,66
"15","Hyundai Accent 2dr hatch",1.6,4,103,2255,96,167,66
"16","Hyundai Accent GL 4dr",1.6,4,103,2290,96,167,66
"17","Hyundai Accent GT 2dr hatch",1.6,4,103,2339,96,167,66
"97","Volkswagen Jetta GLS TDI 4dr",1.9,4,100,3003,99,172,68
"69","Honda Civic Hybrid 4dr manual (g",1.4,4,93,2732,103,175,68
"70","Honda Insight 2dr (gas/electric)",2,3,73,1850,95,155,67
